"Name","Location","Type","Namespace","Source","Reference Count","Offcut Ref Count"
"FUN_OSGlobals__80000200","OSGlobals::80000200","Function","Global","Default","0","0"
"__dbgInterface","80000040","Data Label","Global","Imported","4","3"
"__osCurrentCtxPhysical","800000c0","Data Label","Global","Imported","1","0"
"__osPrevInterruptMask","800000c4","Data Label","Global","Imported","6","0"
"__osCurrInterruptMask","800000c8","Data Label","Global","Imported","9","0"
"__osTVMode","800000cc","Data Label","Global","Imported","4","0"
"__osARAMSize","800000d0","Data Label","Global","Imported","0","1"
"__osCurrentCtx","800000d4","Data Label","Global","Imported","4","0"
"__osDefaultThread","800000d8","Data Label","Global","Imported","15","0"
"__osActiveThreadQueue","800000dc","Data Label","Global","Imported","10","1"
"__osActiveThread","800000e4","Data Label","Global","Imported","11","0"
"__osDbgMonitorSize","800000e8","Data Label","Global","Imported","0","0"
"__osDbgMonitor_p","800000ec","Data Label","Global","Imported","0","0"
"__osSimulatedMemSize","800000f0","Data Label","Global","Imported","2","0"
"__osBI2_p","800000f4","Data Label","Global","Imported","5","0"
"__osBusClockSpeed","800000f8","Data Label","Global","Imported","51","1"
"__osCpuClockSpeed","800000fc","Data Label","Global","Imported","0","0"
"system_reset_exception_handler","80000100","Function","CSTD","User Defined","5","0"
"machine_check_exception_handler","80000200","Function","CSTD","User Defined","2","0"
"dsi_exception_handler","80000300","Function","CSTD","User Defined","1","0"
"isi_exception_handler","80000400","Function","CSTD","User Defined","4","0"
"external_interrupt_exception_handler","80000500","Function","CSTD","User Defined","0","0"
"alignment_exception_handler","80000600","Function","CSTD","User Defined","0","0"
"program_exception_handler","80000700","Function","CSTD","User Defined","0","0"
"floating_point_unavailable_exception_handler","80000800","Function","CSTD","User Defined","1","0"
"decrementer_exception_handler","80000900","Function","CSTD","User Defined","0","0"
"system_call_exception_handler","80000c00","Function","CSTD","User Defined","3","0"
"FUN_80000c1c","80000c1c","Function","Global","Default","0","0"
"trace_exception_handler","80000d00","Function","CSTD","User Defined","0","0"
"performance_monitor_interrupt_handler","80000f00","Function","CSTD","User Defined","0","0"
"instruction_address_breakpoint_exception_handler","80001300","Function","CSTD","User Defined","0","0"
"FUN_80001388","80001388","Function","Global","Default","16","0"
"FUN_80001400","80001400","Function","Global","Default","0","0"
"thermal_management_interrupt_exception_handler","80001700","Function","CSTD","User Defined","0","0"
"__check_pad3","80003100","Function","OS::__start","User Defined","6","0"
"__check_pad3_","80003110","Function","Global","User Defined","1","0"
"__set_debug_bba","80003140","Function","OS::__start","User Defined","1","0"
"__get_debug_bba","8000314c","Function","OS::__start","User Defined","1","0"
"__start","80003154","Function","OS::__start","User Defined","0","0"
"__init_registers","800032b0","Function","OS::__start","User Defined","1","0"
"__init_data","80003340","Function","OS::__start","User Defined","1","0"
"__init_hardware","80003400","Function","OS::__ppc_eabi_init","User Defined","1","0"
"__flush_cache","80003424","Function","OS::__ppc_eabi_init","User Defined","1","0"
"TRK_memset","80003458","Function","Global","User Defined","1","0"
"TRK_memcpy","80003488","Function","Global","User Defined","13","0"
"FUN_800036ac","800036ac","Function","Global","Default","0","0"
"FUN_800037ac","800037ac","Function","Global","Default","0","0"
"FUN_800038ac","800038ac","Function","Global","Default","0","0"
"FUN_800039ac","800039ac","Function","Global","Default","0","0"
"FUN_80003aac","80003aac","Function","Global","Default","0","0"
"FUN_80003bac","80003bac","Function","Global","Default","0","0"
"FUN_80003cac","80003cac","Function","Global","Default","0","0"
"FUN_80003dac","80003dac","Function","Global","Default","0","0"
"FUN_800040ac","800040ac","Function","Global","Default","0","0"
"FUN_800041ac","800041ac","Function","Global","Default","0","0"
"FUN_800042ac","800042ac","Function","Global","Default","0","0"
"FUN_800043cc","800043cc","Function","Global","Default","0","0"
"FUN_80004400","80004400","Function","Global","Default","3","0"
"FUN_800044ac","800044ac","Function","Global","Default","0","0"
"FUN_800045ac","800045ac","Function","Global","Default","0","0"
"FUN_800046ac","800046ac","Function","Global","Default","0","0"
"FUN_800047ac","800047ac","Function","Global","Default","0","0"
"FUN_800048ac","800048ac","Function","Global","Default","0","0"
"FUN_80004aac","80004aac","Function","Global","Default","0","0"
"FUN_80004bac","80004bac","Function","Global","Default","0","0"
"FUN_800050ac","800050ac","Function","Global","Default","0","0"
"FUN_800051ac","800051ac","Function","Global","Default","0","0"
"FUN_800052ac","800052ac","Function","Global","Default","0","0"
"FUN_800053ac","800053ac","Function","Global","Default","0","0"
"__TRK_reset","800053e0","Function","Global","User Defined","2","0"
"memset","8000540c","Function","Global","User Defined","414","0"
"TRK_fill_mem","8000543c","Function","TRK::mem_TRK","User Defined","1","0"
"memcpy","800054f4","Function","CSTD","User Defined","754","0"
"FUN_80008e00","80008e00","Function","Global","Default","4","0"
"FUN_80008e08","80008e08","Function","Global","Default","3","0"
"PostRetraceCallback","80008fd0","Function","mssb","User Defined","4","0"
"FUN_8000900c","8000900c","Function","Global","Default","2","0"
"FUN_80009018","80009018","Function","Global","Default","2","0"
"FUN_80009028","80009028","Function","Global","Default","1","0"
"FUN_80009094","80009094","Function","Global","Default","2","0"
"FUN_800090b4","800090b4","Function","Global","Default","2","0"
"FUN_80009144","80009144","Function","Global","Default","3","0"
"main","80009180","Function","Global","User Defined","1","0"
"PrepFilesToBeLoaded","800096dc","Function","unsure","User Defined","0","0"
"handleLoadingProcess","800097a0","Function","Global","User Defined","3","0"
"switchD","800097fc","Instruction Label","switchD_800097fc","Analysis","0","0"
"caseD_0","80009800","Instruction Label","switchD_800097fc","Analysis","2","0"
"caseD_1","80009858","Instruction Label","switchD_800097fc","Analysis","2","0"
"caseD_2","8000989c","Instruction Label","switchD_800097fc","Analysis","2","0"
